13:59:45.200 INFO  other.StartupController	 | Checking user directory...
13:59:45.231 INFO  other.StartupController	 | Directory C:\Users\49151\IdeaProjects\JavaGame\resources\maps exists
13:59:45.232 INFO  other.StartupController	 | Directory C:\Users\49151\IdeaProjects\JavaGame\resources\units exists
13:59:45.232 INFO  other.StartupController	 | Directory C:\Users\49151\IdeaProjects\JavaGame\resources\tiles exists
13:59:45.233 INFO  other.StartupController	 | Directory C:\Users\49151\IdeaProjects\JavaGame\resources\textures\units exists
13:59:45.233 INFO  other.StartupController	 | Directory C:\Users\49151\IdeaProjects\JavaGame\resources\textures\tiles exists
13:59:45.234 INFO  other.StartupController	 | Directory C:\Users\49151\IdeaProjects\JavaGame\resources\textures\other created
13:59:45.235 INFO  other.StartupController	 | Initializing Context...
13:59:45.281 INFO  other.StartupController	 | Initializing settings...
13:59:45.288 INFO  utils.FileHelper	 | Loading files for src\main\resources\org\itdhbw\futurewars\maps...
13:59:45.291 INFO  utils.FileHelper	 | Found file: C:\Users\49151\IdeaProjects\JavaGame\src\main\resources\org\itdhbw\futurewars\maps\eonSprings.fwm
13:59:45.292 INFO  utils.FileHelper	 | Found file: C:\Users\49151\IdeaProjects\JavaGame\src\main\resources\org\itdhbw\futurewars\maps\littleIsland.fwm
13:59:45.292 INFO  utils.FileHelper	 | Found file: C:\Users\49151\IdeaProjects\JavaGame\src\main\resources\org\itdhbw\futurewars\maps\pistonDam.fwm
13:59:45.293 INFO  utils.FileHelper	 | Loading files for src\main\resources\org\itdhbw\futurewars\tiles...
13:59:45.294 INFO  utils.FileHelper	 | Found file: C:\Users\49151\IdeaProjects\JavaGame\src\main\resources\org\itdhbw\futurewars\tiles\mountainTile.fwt
13:59:45.295 INFO  utils.FileHelper	 | Found file: C:\Users\49151\IdeaProjects\JavaGame\src\main\resources\org\itdhbw\futurewars\tiles\notSetTile.fwt
13:59:45.296 INFO  utils.FileHelper	 | Found file: C:\Users\49151\IdeaProjects\JavaGame\src\main\resources\org\itdhbw\futurewars\tiles\plainTile.fwt
13:59:45.296 INFO  utils.FileHelper	 | Found file: C:\Users\49151\IdeaProjects\JavaGame\src\main\resources\org\itdhbw\futurewars\tiles\seaTile.fwt
13:59:45.296 INFO  utils.FileHelper	 | Found file: C:\Users\49151\IdeaProjects\JavaGame\src\main\resources\org\itdhbw\futurewars\tiles\testTile.fwt
13:59:45.297 INFO  utils.FileHelper	 | Found file: C:\Users\49151\IdeaProjects\JavaGame\src\main\resources\org\itdhbw\futurewars\tiles\woodTile.fwt
13:59:45.298 INFO  utils.FileHelper	 | Loading files for src\main\resources\org\itdhbw\futurewars\units...
13:59:45.299 INFO  utils.FileHelper	 | Found file: C:\Users\49151\IdeaProjects\JavaGame\src\main\resources\org\itdhbw\futurewars\units\artilleryUnit.fwu
13:59:45.299 INFO  utils.FileHelper	 | Found file: C:\Users\49151\IdeaProjects\JavaGame\src\main\resources\org\itdhbw\futurewars\units\battleCopterUnit.fwu
13:59:45.299 INFO  utils.FileHelper	 | Found file: C:\Users\49151\IdeaProjects\JavaGame\src\main\resources\org\itdhbw\futurewars\units\bomberUnit.fwu
13:59:45.300 INFO  utils.FileHelper	 | Found file: C:\Users\49151\IdeaProjects\JavaGame\src\main\resources\org\itdhbw\futurewars\units\infantryUnit.fwu
13:59:45.300 INFO  utils.FileHelper	 | Found file: C:\Users\49151\IdeaProjects\JavaGame\src\main\resources\org\itdhbw\futurewars\units\mechanizedUnit.fwu
13:59:45.300 INFO  utils.FileHelper	 | Found file: C:\Users\49151\IdeaProjects\JavaGame\src\main\resources\org\itdhbw\futurewars\units\tankUnit.fwu
13:59:45.301 INFO  loaders.FileLoader	 | Retrieved 15 system files
13:59:45.302 INFO  utils.FileHelper	 | Loading files for C:\Users\49151\IdeaProjects\JavaGame\resources\maps...
13:59:45.303 INFO  utils.FileHelper	 | Found file: C:\Users\49151\IdeaProjects\JavaGame\resources\maps\testMapUnits.fwm
13:59:45.303 INFO  utils.FileHelper	 | Found file: C:\Users\49151\IdeaProjects\JavaGame\resources\maps\testMapX.fwm
13:59:45.304 INFO  utils.FileHelper	 | Loading files for C:\Users\49151\IdeaProjects\JavaGame\resources\tiles...
13:59:45.305 INFO  utils.FileHelper	 | Found file: C:\Users\49151\IdeaProjects\JavaGame\resources\tiles\testTile.fwt
13:59:45.306 INFO  utils.FileHelper	 | Loading files for C:\Users\49151\IdeaProjects\JavaGame\resources\units...
13:59:45.307 INFO  utils.FileHelper	 | Found file: C:\Users\49151\IdeaProjects\JavaGame\resources\units\testUnit.fwu
13:59:45.307 INFO  loaders.FileLoader	 | Retrieved 18 user files
13:59:45.309 INFO  loaders.UnitLoader	 | Creating unit factory
13:59:45.311 INFO  factory.UnitFactory	 | Creating unit factory for unit type: ARTILLERY_UNIT
13:59:45.343 INFO  loaders.TileLoader	 | Loading tile from file...
13:59:45.345 INFO  loaders.TileLoader	 | Creating unit factory
13:59:45.346 INFO  factory.TileFactory	 | Creating tile factory for unit type: TEST_TILE
13:59:45.346 INFO  factory.TileFactory	 | Loading textures for tile type: TEST_TILE
13:59:45.349 INFO  loaders.UnitLoader	 | Creating unit factory
13:59:45.349 INFO  factory.UnitFactory	 | Creating unit factory for unit type: BOMBER_UNIT
13:59:45.355 INFO  loaders.TileLoader	 | Loading tile from file...
13:59:45.356 INFO  loaders.TileLoader	 | Creating unit factory
13:59:45.356 INFO  factory.TileFactory	 | Creating tile factory for unit type: WOOD_TILE
13:59:45.356 INFO  factory.TileFactory	 | Loading textures for tile type: WOOD_TILE
13:59:45.360 INFO  loaders.UnitLoader	 | Creating unit factory
13:59:45.360 INFO  factory.UnitFactory	 | Creating unit factory for unit type: TANK_UNIT
13:59:45.367 INFO  loaders.UnitLoader	 | Creating unit factory
13:59:45.367 INFO  factory.UnitFactory	 | Creating unit factory for unit type: MECHANIZED_UNIT
13:59:45.372 INFO  loaders.TileLoader	 | Loading tile from file...
13:59:45.372 INFO  loaders.TileLoader	 | Creating unit factory
13:59:45.373 INFO  factory.TileFactory	 | Creating tile factory for unit type: NOT_SET_TILE
13:59:45.373 INFO  factory.TileFactory	 | Loading textures for tile type: NOT_SET_TILE
13:59:45.378 INFO  loaders.UnitLoader	 | Creating unit factory
13:59:45.378 INFO  factory.UnitFactory	 | Creating unit factory for unit type: BATTLE_COPTER_UNIT
13:59:45.384 INFO  loaders.UnitLoader	 | Creating unit factory
13:59:45.384 INFO  factory.UnitFactory	 | Creating unit factory for unit type: INFANTRY_UNIT
13:59:45.390 INFO  loaders.UnitLoader	 | Creating unit factory
13:59:45.390 INFO  factory.UnitFactory	 | Creating unit factory for unit type: TEST_UNIT
13:59:45.393 INFO  loaders.TileLoader	 | Loading tile from file...
13:59:45.394 INFO  loaders.TileLoader	 | Creating unit factory
13:59:45.394 INFO  factory.TileFactory	 | Creating tile factory for unit type: PLAIN_TILE
13:59:45.394 INFO  factory.TileFactory	 | Loading textures for tile type: PLAIN_TILE
13:59:45.397 INFO  loaders.TileLoader	 | Loading tile from file...
13:59:45.397 INFO  loaders.TileLoader	 | Creating unit factory
13:59:45.397 INFO  factory.TileFactory	 | Creating tile factory for unit type: MOUNTAIN_TILE
13:59:45.398 INFO  factory.TileFactory	 | Loading textures for tile type: MOUNTAIN_TILE
13:59:45.399 INFO  loaders.TileLoader	 | Loading tile from file...
